target;Feat1_f;Feat1_t;Feat2_f;Feat2_t;Feat3_f;Feat3_t;Feat4_f;Feat4_t;Feat5_f;Feat5_t;Feat6_f;Feat6_t;Feat7_f;Feat7_t;Feat8_f;Feat8_t;Feat9_f;Feat9_t;Feat10_f;Feat10_t;Feat11_f;Feat11_t;Feat12_f;Feat12_t;Feat13_g;Feat13_l;Feat14_f;Feat14_t;Feat15_b;Feat15_n;Feat15_w;Feat16_f;Feat16_t;Feat17_f;Feat17_t;Feat18_f;Feat18_t;Feat19_f;Feat19_t;Feat20_f;Feat20_t;Feat21_f;Feat21_t;Feat22_f;Feat22_t;Feat23_f;Feat23_t;Feat24_f;Feat24_t;Feat25_f;Feat25_t;Feat26_f;Feat26_t;Feat27_f;Feat27_t;Feat28_f;Feat28_t;Feat29_f;Feat29_t;Feat30_f;Feat30_t;Feat31_f;Feat31_t;Feat32_f;Feat32_t;Feat33_f;Feat33_t;Feat34_f;Feat34_t;Feat35_f;Feat35_t;Feat36_n;Feat36_t
1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0
1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
