Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;target
12.040;4.300;2.380;22.000;80;2.100;1.750;0.420;1.350;2.600;0.790;2.570;580;2
12.420;4.430;2.730;26.500;102;2.200;2.130;0.430;1.710;2.080;0.920;3.120;365;2
13.560;1.710;2.310;16.200;117;3.150;3.290;0.340;2.340;6.130;0.950;3.380;795;1
12.700;3.870;2.400;23.000;101;2.830;2.550;0.430;1.950;2.570;1.190;3.130;463;2
13.670;1.250;1.920;18.000;94;2.100;1.790;0.320;0.730;3.800;1.230;2.460;630;2
13.400;4.600;2.860;25.000;112;1.980;0.960;0.270;1.110;8.500;0.670;1.920;630;3
11.610;1.350;2.700;20.000;94;2.740;2.920;0.290;2.490;2.650;0.960;3.260;680;2
13.760;1.530;2.700;19.500;132;2.950;2.740;0.500;1.350;5.400;1.250;3.000;1235;1
11.810;2.120;2.740;21.500;134;1.600;0.990;0.140;1.560;2.500;0.950;2.260;625;2
11.870;4.310;2.390;21.000;82;2.860;3.030;0.210;2.910;2.800;0.750;3.640;380;2
13.070;1.500;2.100;15.500;98;2.400;2.640;0.280;1.370;3.700;1.180;2.690;1020;1
12.520;2.430;2.170;21.000;88;2.550;2.270;0.260;1.220;2.000;0.900;2.780;325;2
13.770;1.900;2.680;17.100;115;3.000;2.790;0.390;1.680;6.300;1.130;2.930;1375;1
14.100;2.020;2.400;18.800;103;2.750;2.920;0.320;2.380;6.200;1.070;2.750;1060;1
12.720;1.750;2.280;22.500;84;1.380;1.760;0.480;1.630;3.300;0.880;2.420;488;2
12.420;2.550;2.270;22.000;90;1.680;1.840;0.660;1.420;2.700;0.860;3.300;315;2
12.290;2.830;2.220;18.000;88;2.450;2.250;0.250;1.990;2.150;1.150;3.300;290;2
14.750;1.730;2.390;11.400;91;3.100;3.690;0.430;2.810;5.400;1.250;2.730;1150;1
12.370;1.170;1.920;19.600;78;2.110;2.000;0.270;1.040;4.680;1.120;3.480;510;2
13.830;1.570;2.620;20.000;115;2.950;3.400;0.400;1.720;6.600;1.130;2.570;1130;1
11.560;2.050;3.230;28.500;119;3.180;5.080;0.470;1.870;6.000;0.930;3.690;465;2
11.640;2.060;2.460;21.600;84;1.950;1.690;0.480;1.350;2.800;1.000;2.750;680;2
14.220;3.990;2.510;13.200;128;3.000;3.040;0.200;2.080;5.100;0.890;3.530;760;1
11.410;0.740;2.500;21.000;88;2.480;2.010;0.420;1.440;3.080;1.100;2.310;434;2
13.860;1.350;2.270;16.000;98;2.980;3.150;0.220;1.850;7.220;1.010;3.550;1045;1
13.160;2.360;2.670;18.600;101;2.800;3.240;0.300;2.810;5.680;1.030;3.170;1185;1
12.770;3.430;1.980;16.000;80;1.630;1.250;0.430;0.830;3.400;0.700;2.120;372;2
13.110;1.010;1.700;15.000;78;2.980;3.180;0.260;2.280;5.300;1.120;3.180;502;2
14.390;1.870;2.450;14.600;96;2.500;2.520;0.300;1.980;5.250;1.020;3.580;1290;1
13.240;2.590;2.870;21.000;118;2.800;2.690;0.390;1.820;4.320;1.040;2.930;735;1
13.630;1.810;2.700;17.200;112;2.850;2.910;0.300;1.460;7.300;1.280;2.880;1310;1
14.370;1.950;2.500;16.800;113;3.850;3.490;0.240;2.180;7.800;0.860;3.450;1480;1
12.000;3.430;2.000;19.000;87;2.000;1.640;0.370;1.870;1.280;0.930;3.050;564;2
12.080;1.330;2.300;23.600;70;2.200;1.590;0.420;1.380;1.740;1.070;3.210;625;2
13.490;3.590;2.190;19.500;88;1.620;0.480;0.580;0.880;5.700;0.810;1.820;580;3
13.320;3.240;2.380;21.500;92;1.930;0.760;0.450;1.250;8.420;0.550;1.620;650;3
12.840;2.960;2.610;24.000;101;2.320;0.600;0.530;0.810;4.920;0.890;2.150;590;3
13.720;1.430;2.500;16.700;108;3.400;3.670;0.190;2.040;6.800;0.890;2.870;1285;1
11.820;1.720;1.880;19.500;86;2.500;1.640;0.370;1.420;2.060;0.940;2.440;415;2
12.250;1.730;2.120;19.000;80;1.650;2.030;0.370;1.630;3.400;1.000;3.170;510;2
13.080;3.900;2.360;21.500;113;1.410;1.390;0.340;1.140;9.400;0.570;1.330;550;3
14.300;1.920;2.720;20.000;120;2.800;3.140;0.330;1.970;6.200;1.070;2.650;1280;1
12.290;1.410;1.980;16.000;85;2.550;2.500;0.290;1.770;2.900;1.230;2.740;428;2
13.050;2.050;3.220;25.000;124;2.630;2.680;0.470;1.920;3.580;1.130;3.200;830;1
13.340;0.940;2.360;17.000;110;2.530;1.300;0.550;0.420;3.170;1.020;1.930;750;2
12.200;3.030;2.320;19.000;96;1.250;0.490;0.400;0.730;5.500;0.660;1.830;510;3
12.640;1.360;2.020;16.800;100;2.020;1.410;0.530;0.620;5.750;0.980;1.590;450;2
14.100;2.160;2.300;18.000;105;2.950;3.320;0.220;2.380;5.750;1.250;3.170;1510;1
13.170;2.590;2.370;20.000;120;1.650;0.680;0.530;1.460;9.300;0.600;1.620;840;3
14.210;4.040;2.440;18.900;111;2.850;2.650;0.300;1.250;5.240;0.870;3.330;1080;1
14.020;1.680;2.210;16.000;96;2.650;2.330;0.260;1.980;4.700;1.040;3.590;1035;1
13.030;0.900;1.710;16.000;86;1.950;2.030;0.240;1.460;4.600;1.190;2.480;392;2
11.820;1.470;1.990;20.800;86;1.980;1.600;0.300;1.530;1.950;0.950;3.330;495;2
13.240;3.980;2.290;17.500;103;2.640;2.630;0.320;1.660;4.360;0.820;3.000;680;1
13.900;1.680;2.120;16.000;101;3.100;3.390;0.210;2.140;6.100;0.910;3.330;985;1
12.580;1.290;2.100;20.000;103;1.480;0.580;0.530;1.400;7.600;0.580;1.550;640;3
13.050;5.800;2.130;21.500;86;2.620;2.650;0.300;2.010;2.600;0.730;3.100;380;2
12.340;2.450;2.460;21.000;98;2.560;2.110;0.340;1.310;2.800;0.800;3.380;438;2
13.620;4.950;2.350;20.000;92;2.000;0.800;0.470;1.020;4.400;0.910;2.050;550;3
14.060;1.630;2.280;16.000;126;3.000;3.170;0.240;2.100;5.650;1.090;3.710;780;1
13.400;3.910;2.480;23.000;102;1.800;0.750;0.430;1.410;7.300;0.700;1.560;750;3
13.830;1.650;2.600;17.200;94;2.450;2.990;0.220;2.290;5.600;1.240;3.370;1265;1
13.680;1.830;2.360;17.200;104;2.420;2.690;0.420;1.970;3.840;1.230;2.870;990;1
12.810;2.310;2.400;24.000;98;1.150;1.090;0.270;0.830;5.700;0.660;1.360;560;3
11.620;1.990;2.280;18.000;98;3.020;2.260;0.170;1.350;3.250;1.160;2.960;345;2
12.930;3.800;2.650;18.600;102;2.410;2.410;0.250;1.980;4.500;1.030;3.520;770;1
14.230;1.710;2.430;15.600;127;2.800;3.060;0.280;2.290;5.640;1.040;3.920;1065;1
13.300;1.720;2.140;17.000;94;2.400;2.190;0.270;1.350;3.950;1.020;2.770;1285;1
12.960;3.450;2.350;18.500;106;1.390;0.700;0.400;0.940;5.280;0.680;1.750;675;3
12.080;1.830;2.320;18.500;81;1.600;1.500;0.520;1.640;2.400;1.080;2.270;480;2
13.710;5.650;2.450;20.500;95;1.680;0.610;0.520;1.060;7.700;0.640;1.740;740;3
13.450;3.700;2.600;23.000;111;1.700;0.920;0.430;1.460;10.680;0.850;1.560;695;3
12.080;1.130;2.510;24.000;78;2.000;1.580;0.400;1.400;2.200;1.310;2.720;630;2
11.840;0.890;2.580;18.000;94;2.200;2.210;0.220;2.350;3.050;0.790;3.080;520;2
12.160;1.610;2.310;22.800;90;1.780;1.690;0.430;1.560;2.450;1.330;2.260;495;2
11.840;2.890;2.230;18.000;112;1.720;1.320;0.430;0.950;2.650;0.960;2.520;500;2
14.220;1.700;2.300;16.300;118;3.200;3.000;0.260;2.030;6.380;0.940;3.310;970;1
14.160;2.510;2.480;20.000;91;1.680;0.700;0.440;1.240;9.700;0.620;1.710;660;3
12.330;0.990;1.950;14.800;136;1.900;1.850;0.350;2.760;3.400;1.060;2.310;750;2
12.930;2.810;2.700;21.000;96;1.540;0.500;0.530;0.750;4.600;0.770;2.310;600;3
12.360;3.830;2.380;21.000;88;2.300;0.920;0.500;1.040;7.650;0.560;1.580;520;3
13.510;1.800;2.650;19.000;110;2.350;2.530;0.290;1.540;4.200;1.100;2.870;1095;1
12.250;3.880;2.200;18.500;112;1.380;0.780;0.290;1.140;8.210;0.650;2.000;855;3
13.490;1.660;2.240;24.000;87;1.880;1.840;0.270;1.030;3.740;0.980;2.780;472;2
13.200;1.780;2.140;11.200;100;2.650;2.760;0.260;1.280;4.380;1.050;3.400;1050;1
12.370;1.630;2.300;24.500;88;2.220;2.450;0.400;1.900;2.120;0.890;2.780;342;2
12.370;1.130;2.160;19.000;87;3.500;3.100;0.190;1.870;4.450;1.220;2.870;420;2
12.600;1.340;1.900;18.500;88;1.450;1.360;0.290;1.350;2.450;1.040;2.770;562;2
13.280;1.640;2.840;15.500;110;2.600;2.680;0.340;1.360;4.600;1.090;2.780;880;1
